smiles,hlb
CCCCCCCC/C=C\CCCCCCCC(=O)O,0.0
CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@@H](O)[C@H]1OC[C@H](O)[C@H]1O,1.3350011110305786
CCCCCCCCCCCCCCCCCC(=O)O.OCCOCCO,1.4586150646209717
CCCCCCCCCCCC(=O)OCC(O)[C@H]1OC[C@@H](O)[C@@H]1O,1.808288812637329
CCCCCCCC/C=C\CCCCCCCC(=O)O.OCCN(CCO)CCO,2.40694522857666
CCCCCCCCCCCC(=O)O.OCCO,2.549445152282715
CCCCCCCC/C=C/CCCCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,2.70805025100708
CCCCCCCC/C=C\CCCCCCCC(=O)[O-].[Na+],2.8273136615753174
CCCCCCCC/C=C\CCCCCCCC(=O)[O-].[K+],2.890371799468994
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],2.995732307434082
CCCCCCCCCCCCCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,2.397895336151123
CCCCCCCCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCO,1.945910096168518
CCCCCCCCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,2.8033604621887207
CCCCCCCCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,2.740839958190918
CCCCCCCCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,2.890371799468994
CCCCCCCCCCCCCCCCCC(=O)OC(C)C(=O)OC(C)C(=O)[O-].CCCCCCCCCCCCCCCCCC(=O)OC(C)C(=O)OC(C)C(=O)[O-].[Ca+2],1.6292405128479004
CCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,2.59525465965271
CCCCCCCCCCCCCCCCOCCOCCO,1.667706847190857
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,2.557227373123169
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,2.7536606788635254
CCCCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],2.70805025100708
CCCCCCCCCCCCCCCC[Si](C)(O[Si](C)(C)OCCOCC(C)O)O[Si](C)(C)O[Si](C)(C)C,1.6094379425048828
CCCCCCCCCCCCOC1OC(CO)C(O)C(O)C1O,2.5649492740631104
CCCCCCCC/C=C\CCCCCCCC(=O)OCC(COCC(O)COCC(O)COCC(O)COCC(O)COCC(O)COCC(O)COCC(O)COCC(O)COCC(COC(=O)CCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC,1.8245493173599243
CCCCCCCCCCOCCOCCOCCO,2.1517622470855717
CCCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,2.602689743041992
CCOCCOCCO,1.4350844621658323
CCCCCCCC/C=C\CCCCCCCC(=O)OCC(O)COCC(O)COC(=O)CCCCCCC/C=C\CCCCCCCC,1.945910096168518
CCCCCCCC/C=C\CCCCCCCC(=O)OCC(O)COCC(O)CO,1.8718022108078003
CO[C@H]1CO[C@H]2[C@@H]1OC[C@H]2OC,2.1282317638397217
CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCCCC.[Cl-],2.397895336151123
CCCCCCCCCCCC(=O)OC[C@@H](O)[C@H]1OC(=O)C(O)=C1O,2.7245795726776123
OCCO,2.2874715328216557
CCCCCCCCCCCCCCCCCC(=O)OCC(CC)CCCC,2.079441547393799
CCCCCCC(CCCCCCCCCC(=O)[O-])C(=O)OCC(O)CO,1.5686159133911133
CCCCCCCC/C=C\CCCCCCCC(=O)OCC(O)CO,1.3350011110305786
